SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50034.*A,AIRPORT,ANC,9/20/12,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2525,JOHN PARROTT,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2525,61-10-26.7000N,220226.7000N,149-59-53.5000W,539993.5000W,E,151,S,19E,2010,,ANCHORAGE,4,SW,4608,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ANC,Y,11/1/51,O,I E S 04/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,10282011,,100  100LLA    A1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,,N,CG,Y,,9,55,11,15,1,0,,107560,,78395,15421,84588,3508,10/28/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L
50038.*A,AIRPORT,ANI,9/20/12,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,ANIAK,ANIAK,PU,PU,STATE OF AK OOTPF-CENTRAL RGN,POUCH 196900,"ANCHORAGE, AK 99519-6900",    907-266-0151,TERRY HOFFMAN,BOX 73,"ANIAK, AK 99557",    907-675-4277,61-34-53.7490N,221693.7490N,159-32-34.9540W,574354.9540W,E,89,S,18E,2000,,MC GRATH,0,S,1722,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ANI,Y,8/1/47,O,,NRGPY,NO OBJECTION,,,,,S,C,5292009,,100LLA,MINOR,MINOR,,,,SEE RMK,N,,122.1,Y,CG,N,,17,2,,,,,,,,,,,,5/29/09,,,STATE,00:00.0,,TIE,CARGO,Y-L
50061.1*A,AIRPORT,BET,9/20/12,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0747,DAVID CUMMINGS,BOX 505,"BETHEL, AK 99559",    907-543-2495,60-46-42.8000N,218802.8000N,161-50-13.8000W,582613.8000W,E,128,S,14E,2010,,MC GRATH,3,SW,1056,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,BET,Y,11/1/58,O,I A S 04/2005,N,NO OBJECTION,,,,,F,F,6292012,,100  100LLA    A1,MINOR,MINOR,,,SEE RMK,SS-SR,Y,,118.7,Y,CG,,,209,17,,4,,2,,5195,,65857,7140,42438,1370,1/1/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L
50062.*A,AIRPORT,BTT,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BETTLES,BETTLES,PU,PU,STATE OF ALASKA DOTPF,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-5230,JEREMY WORRALL,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-5230,66-54-50.2000N,240890.2000N,151-31-44.6000W,545504.6000W,E,647,S,20E,2010,,FAIRBANKS,0,N,1195,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,BTT,Y,1/1/49,O,,N,NO OBJECTION,,,,,C,C,9102011,,100LLA1+  B,,,,,,SEE RMK,N,,122.9,Y,CG,,,9,1,0,0,,,,,,1000,1000,2000,150,1/1/06,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L
50109.01*A,AIRPORT,Z84,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,CLEAR,CLEAR,PU,PU,STATE OF AK DOTPF/NORTH RGN,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-2220,JEREMY WORRALL,2301 PEGER RD,"FAIRBANKS, AK 99709-5316",    907-451-5230,64-18-01.4000N,231481.4000N,149-06-59.5000W,536819.5000W,E,559,S,27E,1985,,FAIRBANKS,3,SE,1127,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,,O,,N,NO OBJECTION,N,N,N,N,S,C,5302010,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,N,,3,0,0,0,,,,,,,500,1000,500,12/31/05,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CARGO,Y-L
50124.*A,AIRPORT,CDV,9/20/12,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,CORDOVA,MERLE K (MUDHOLE) SMITH,PU,PU,DOT NOTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5250,ROB MATTSON,BOX 598,"CORDOVA, AK 99574",    907-424-3202,60-29-30.4000N,217770.4000N,145-28-39.2000W,523719.2000W,E,54,S,22E,2005,,ANCHORAGE,11,SE,2959,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,CDV,Y,1/1/49,O,I B S 04/2005,NGPSY,NO OBJECTION,N,N,N,Y,F,F,6072012,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,28,,,2,,,,2540,,4000,4500,2000,1000,1/1/12,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L
50140.7*A,AIRPORT,SCC,9/20/12,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,DEADHORSE,PU,PU,ST OF AK DOTPF NOR REG,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-2200,TIM PARAULT,POUCH 340002,"PRUDHOE BAY, AK 99734",    907-659-2553,70-11-43.9645N,252703.9645N,148-27-56.8452W,534476.8452W,E,64,S,23E,2010,,POINT BARROW,0,SE,6506,ZAN,ZAN,ANCHORAGE,,,,Y,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,SCC,Y,4/1/70,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,5172012,,100  B    MOGAS,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,3,2,,2,,,,16060,,4576,9126,3000,150,1/1/12,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,,CARGO,Y-L
50153.*A,AIRPORT,DLG,9/20/12,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,DILLINGHAM,DILLINGHAM,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,P O BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0751,NORMAN HEYANO,BOX 250,"DILLINGHAM, AK 99576",    907-842-5511,59-02-40.8000N,212560.8000N,158-30-19.8000W,570619.8000W,E,81,S,15E,2010,,KODIAK,2,W,620,ZAN,ZAN,ANCHORAGE,,,,Y,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,11/1/50,O,I A S 05/1973,NGSY,NO OBJECTION,N,N,N,Y,F,F,9022011,7191994,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,,,52,,,1,,,,1323,,36489,2083,10986,11,8/31/11,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y
50219.*A,AIRPORT,FAI,9/20/12,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS,FAIRBANKS INTL,PU,PU,STATE OF ALASKA DOTPF,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,JESSE VANDERZANDEN,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,64-48-54.3963N,233334.3963N,147-51-23.2114W,532283.2114W,E,439,S,21E,2010,,FAIRBANKS,3,SW,3470,ZAN,ZAN,ANCHORAGE,,,,Y,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,6/1/51,O,I C S 03/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,8272010,,100LLA1,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,317,64,,1,,,,16781,,23339,46801,43566,2780,1/1/10,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50222.*A,AIRPORT,FWL,9/20/12,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,FAREWELL,FAREWELL,PU,PU,US GOV DOT FAA,"38685 UNIVERSITY AVE.,","FAIRBANKS, AK 99709",    907-455-5701,DISTRICT MANAGER,"38685 UNIVERSITY AVE.,","FAIRBANKS, AK 99709",    907-455-5701,62-30-32.8000N,225032.8000N,153-53-25.0200W,554005.0200W,E,1535,E,24E,1980,,MC GRATH,,,3039,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,FKK,Y,9/1/47,O,,,NO OBJECTION,N,N,N,N,S,C,5182009,11211985,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,,,,,5/18/09,REGION,00:00.0,,,,,CARGO,Y
